,img,prob,label_id,label
0,covid_memes_5594.png,0.58568245,916,web_site
1,covid_memes_5594.png,0.026445014,740,power_drill
2,covid_memes_5594.png,0.014786708,731,plunger
3,covid_memes_5594.png,0.009871098,633,loupe
4,covid_memes_5594.png,0.008323642,600,hook
5,covid_memes_2353.png,0.31170017,676,muzzle
6,covid_memes_2353.png,0.29869726,560,football_helmet
7,covid_memes_2353.png,0.27539387,971,bubble
8,covid_memes_2353.png,0.021238182,430,basketball
9,covid_memes_2353.png,0.020024566,691,oxygen_mask
10,covid_memes_3945.png,0.958232,916,web_site
11,covid_memes_3945.png,0.00972708,691,oxygen_mask
12,covid_memes_3945.png,0.0052459906,917,comic_book
13,covid_memes_3945.png,0.0014077206,851,television
14,covid_memes_3945.png,0.0011465905,391,coho
15,covid_memes_722.png,0.42388847,906,Windsor_tie
16,covid_memes_722.png,0.1284527,400,academic_gown
17,covid_memes_722.png,0.1141701,834,suit
18,covid_memes_722.png,0.05630987,220,Sussex_spaniel
19,covid_memes_722.png,0.043849405,183,Kerry_blue_terrier
20,covid_memes_807.png,0.857845,474,cardigan
21,covid_memes_807.png,0.026347768,689,overskirt
22,covid_memes_807.png,0.01882789,655,miniskirt
23,covid_memes_807.png,0.017345272,416,balance_beam
24,covid_memes_807.png,0.015334545,490,chain_mail
25,covid_memes_1602.png,0.77964157,916,web_site
26,covid_memes_1602.png,0.057460714,454,bookshop
27,covid_memes_1602.png,0.03977171,921,book_jacket
28,covid_memes_1602.png,0.027932419,917,comic_book
29,covid_memes_1602.png,0.013910913,860,tobacco_shop
30,covid_memes_1053.png,0.9980685,916,web_site
31,covid_memes_1053.png,0.00026765387,487,cellular_telephone
32,covid_memes_1053.png,0.00019486035,590,hand-held_computer
33,covid_memes_1053.png,0.00017063192,782,screen
34,covid_memes_1053.png,0.00010516439,917,comic_book
35,covid_memes_1769.png,0.6557502,787,shield
36,covid_memes_1769.png,0.1787124,917,comic_book
37,covid_memes_1769.png,0.031174818,73,barn_spider
38,covid_memes_1769.png,0.017538344,330,wood_rabbit
39,covid_memes_1769.png,0.010145465,490,chain_mail
40,covid_memes_5425.png,0.4018771,996,hen-of-the-woods
41,covid_memes_5425.png,0.14642736,916,web_site
42,covid_memes_5425.png,0.12893733,599,honeycomb
43,covid_memes_5425.png,0.06160535,917,comic_book
44,covid_memes_5425.png,0.03780256,993,gyromitra
45,covid_memes_1052.png,0.4637707,903,wig
46,covid_memes_1052.png,0.17230834,465,bulletproof_vest
47,covid_memes_1052.png,0.062532395,870,tricycle
48,covid_memes_1052.png,0.015551862,887,vestment
49,covid_memes_1052.png,0.015168181,443,bib
50,covid_memes_801.png,0.6715842,643,mask
51,covid_memes_801.png,0.28330934,917,comic_book
52,covid_memes_801.png,0.011394013,921,book_jacket
53,covid_memes_801.png,0.0061707716,583,guillotine
54,covid_memes_801.png,0.004040208,585,hair_spray
55,covid_memes_1587.png,0.83328676,916,web_site
56,covid_memes_1587.png,0.114439614,917,comic_book
57,covid_memes_1587.png,0.008773666,921,book_jacket
58,covid_memes_1587.png,0.0033068121,617,lab_coat
59,covid_memes_1587.png,0.002701912,678,neck_brace
60,covid_memes_4315.png,0.30170467,454,bookshop
61,covid_memes_4315.png,0.13239524,829,streetcar
62,covid_memes_4315.png,0.070617385,921,book_jacket
63,covid_memes_4315.png,0.05790357,779,school_bus
64,covid_memes_4315.png,0.055527136,612,jinrikisha
65,covid_memes_3411.png,0.98594195,678,neck_brace
66,covid_memes_3411.png,0.011258511,461,breastplate
67,covid_memes_3411.png,0.0006847886,524,cuirass
68,covid_memes_3411.png,0.0006239467,691,oxygen_mask
69,covid_memes_3411.png,0.00055683433,570,gasmask
70,covid_memes_2602.png,0.14774124,416,balance_beam
71,covid_memes_2602.png,0.08432903,787,shield
72,covid_memes_2602.png,0.08086983,701,parachute
73,covid_memes_2602.png,0.058142934,768,rugby_ball
74,covid_memes_2602.png,0.04990753,887,vestment
75,covid_memes_1259.png,0.7804576,585,hair_spray
76,covid_memes_1259.png,0.101904064,737,pop_bottle
77,covid_memes_1259.png,0.036609028,838,sunscreen
78,covid_memes_1259.png,0.02190756,631,lotion
79,covid_memes_1259.png,0.021463046,907,wine_bottle
80,covid_memes_871.png,0.78080547,916,web_site
81,covid_memes_871.png,0.04472759,921,book_jacket
82,covid_memes_871.png,0.04219471,917,comic_book
83,covid_memes_871.png,0.0041034343,211,vizsla
84,covid_memes_871.png,0.0036140662,903,wig
85,covid_memes_2920.png,0.4811663,430,basketball
86,covid_memes_2920.png,0.41503224,890,volleyball
87,covid_memes_2920.png,0.055115268,602,horizontal_bar
88,covid_memes_2920.png,0.011401252,768,rugby_ball
89,covid_memes_2920.png,0.011154884,733,pole
90,covid_memes_2306.png,0.9622471,457,bow_tie
91,covid_memes_2306.png,0.03240975,906,Windsor_tie
92,covid_memes_2306.png,0.0013656288,834,suit
93,covid_memes_2306.png,0.0008913982,400,academic_gown
94,covid_memes_2306.png,0.0003917778,982,groom
95,covid_memes_1145.png,0.20135038,921,book_jacket
96,covid_memes_1145.png,0.18594801,917,comic_book
